Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
apiTest,,,2019-04-11 16:47:11,2019-04-11 16:47:13,2.451s,PASSED
,,,,,,
Test Cases/ps-api,,,2019-04-11 16:47:11,2019-04-11 16:47:13,2.222s,PASSED
"response = sendRequestAndVerify(findTestObject(""GetToken""))",,,2019-04-11 16:47:11,2019-04-11 16:47:13,1.668s,PASSED
"response = sendRequestAndVerify(findTestObject(""GetFav""))",,,2019-04-11 16:47:13,2019-04-11 16:47:13,0.269s,PASSED
"verifyElementsCount(response, """", 2)",,,2019-04-11 16:47:13,2019-04-11 16:47:13,0.026s,PASSED
"verifyResponseStatusCodeInRange(response, 100, 200)",,,2019-04-11 16:47:13,2019-04-11 16:47:13,0.008s,PASSED
