Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
apiTest,,,2019-04-11 15:08:01,2019-04-11 15:08:04,2.941s,PASSED
,,,,,,
Test Cases/ps-api,,,2019-04-11 15:08:01,2019-04-11 15:08:04,2.663s,PASSED
"response = sendRequestAndVerify(findTestObject(""GetToken""))",,,2019-04-11 15:08:01,2019-04-11 15:08:03,2.010s,PASSED
"response = sendRequestAndVerify(findTestObject(""GetFav""))",,,2019-04-11 15:08:03,2019-04-11 15:08:04,0.277s,PASSED
"verifyElementsCount(response, """", 2)",,,2019-04-11 15:08:04,2019-04-11 15:08:04,0.032s,PASSED
"verifyResponseStatusCodeInRange(response, 100, 200)",,,2019-04-11 15:08:04,2019-04-11 15:08:04,0.008s,PASSED
